state,date,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_adult_patients_hospitalized_confirmed_covid,total_adult_patients_hospitalized_confirmed_covid_coverage,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_coverage,total_pediatric_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_covid_coverage,deaths_covid
MD,2022/03/08,416,52,287,53,33,52,8,52,5
MI,2022/03/08,842,154,774,158,33,154,28,154,10
MN,2022/03/08,417,130,346,131,21,130,20,130,1
MO,2022/03/08,904,122,749,126,50,122,41,122,7
MS,2022/03/08,289,102,249,104,11,102,5,102,6
MT,2022/03/08,75,63,74,64,4,63,4,63,3
NC,2022/03/08,1425,116,1081,120,45,116,26,116,19
NE,2022/03/08,206,94,190,95,8,94,8,94,3
NJ,2022/03/08,636,78,579,79,12,78,4,78,7
NM,2022/03/08,212,50,189,51,11,50,8,50,2
NY,2022/03/08,1670,170,1398,179,69,170,46,170,12
OH,2022/03/08,996,195,784,199,157,195,26,195,1
OK,2022/03/08,392,132,345,134,37,132,37,132,2
OR,2022/03/08,397,60,350,62,24,60,9,60,11
PA,2022/03/08,1143,193,917,199,69,193,26,193,13
SC,2022/03/08,359,74,329,76,13,74,11,74,6
TN,2022/03/08,797,119,738,122,36,119,35,119,5
TX,2022/03/08,2828,499,2400,504,151,499,108,499,25
UT,2022/03/08,191,52,177,53,31,52,0,52,2
VA,2022/03/08,634,98,536,101,20,98,18,98,10
WA,2022/03/08,772,93,506,95,25,93,15,93,11
WI,2022/03/08,405,138,375,141,21,138,5,138,1
AK,2022/03/09,54,24,54,24,5,24,4,24,2
AL,2022/03/09,493,115,375,117,28,115,10,115,10
AR,2022/03/09,363,111,307,113,11,111,7,111,3
AZ,2022/03/09,742,115,592,118,16,115,8,115,4
CA,2022/03/09,3009,403,2775,411,108,403,98,402,10
DC,2022/03/09,101,13,88,14,19,13,15,13,1
FL,2022/03/09,1835,265,1522,271,56,265,35,265,14
GA,2022/03/09,1159,169,846,172,48,169,33,169,6
IA,2022/03/09,138,124,134,126,5,124,4,124,1
ID,2022/03/09,132,52,131,53,4,52,4,52,5
IL,2022/03/09,711,199,605,204,47,199,18,199,5
IN,2022/03/09,461,166,362,168,24,166,16,166,9
KY,2022/03/09,653,115,547,117,30,115,12,115,12
MD,2022/03/09,400,59,283,60,28,59,8,59,3
MI,2022/03/09,804,159,738,163,24,159,23,159,12
MN,2022/03/09,391,139,326,140,25,139,23,139,1
MO,2022/03/09,869,137,713,141,56,137,46,137,6
MS,2022/03/09,252,108,226,110,16,108,5,108,4
MT,2022/03/09,77,65,76,66,3,65,3,65,2
NC,2022/03/09,1377,128,1022,132,51,128,26,128,21
ND,2022/03/09,91,49,74,50,7,49,5,49,1
NE,2022/03/09,190,98,172,99,4,98,4,98,2
NJ,2022/03/09,600,95,543,96,8,95,0,95,6
NY,2022/03/09,1628,199,1357,208,75,199,40,199,4
OH,2022/03/09,938,230,764,234,153,230,29,230,2
OK,2022/03/09,389,145,332,147,40,145,39,145,2
OR,2022/03/09,408,62,349,64,20,62,8,62,6
PA,2022/03/09,1097,221,859,227,66,221,27,221,11
SC,2022/03/09,340,86,314,88,7,86,6,86,4
TN,2022/03/09,781,137,699,140,37,137,36,137,7
TX,2022/03/09,2524,591,2209,596,138,591,105,591,34
UT,2022/03/09,193,58,182,59,32,58,0,58,2
VA,2022/03/09,589,103,512,106,21,103,17,103,15
WA,2022/03/09,747,103,477,105,30,103,15,103,7
AK,2022/03/10,53,24,52,24,3,24,2,24,2
AL,2022/03/10,453,113,345,115,34,113,11,113,11
AR,2022/03/10,343,111,274,113,9,111,4,111,2
AZ,2022/03/10,725,116,569,119,7,116,6,116,4
CA,2022/03/10,2834,403,2622,411,110,403,96,402,14
CO,2022/03/10,307,104,239,106,31,104,20,104,1
DC,2022/03/10,107,13,86,14,20,13,15,13,1
DE,2022/03/10,124,15,55,16,2,15,1,15,1
FL,2022/03/10,1746,265,1397,271,61,265,32,265,19
GA,2022/03/10,1117,172,797,175,49,172,33,172,6
IA,2022/03/10,153,124,143,126,7,124,5,124,3
IL,2022/03/10,706,201,598,206,47,201,16,201,9
IN,2022/03/10,468,166,360,168,24,166,19,166,8
KY,2022/03/10,634,115,530,117,30,115,13,115,9
LA,2022/03/10,210,223,225,226,10,223,7,223,1
MD,2022/03/10,394,59,261,60,27,59,7,59,2
MI,2022/03/10,780,159,705,163,30,159,26,159,8
MO,2022/03/10,836,137,687,141,57,137,44,137,5
MS,2022/03/10,234,108,213,110,11,108,5,108,2
MT,2022/03/10,72,65,71,66,2,65,2,65,1
NC,2022/03/10,1304,128,972,132,40,128,24,128,19
ND,2022/03/10,89,49,72,50,4,49,3,49,2
NE,2022/03/10,165,98,153,99,10,98,9,98,3
NH,2022/03/10,55,30,51,30,1,30,1,30,1
NJ,2022/03/10,571,95,518,96,9,95,1,95,5
NM,2022/03/10,187,54,160,55,8,54,7,54,1
NY,2022/03/10,1546,199,1272,208,56,199,41,199,23
OH,2022/03/10,915,231,739,235,159,231,30,231,2
OK,2022/03/10,344,146,307,148,41,146,39,146,2
OR,2022/03/10,403,62,329,64,23,62,12,62,5
PA,2022/03/10,1033,221,805,227,59,221,27,221,11
SC,2022/03/10,310,86,281,88,11,86,8,86,4
TN,2022/03/10,719,138,661,141,39,138,38,138,5
TX,2022/03/10,2455,591,2065,596,128,591,90,591,27
VA,2022/03/10,563,103,471,106,21,103,13,103,2
WA,2022/03/10,715,103,463,105,26,103,14,103,5
AL,2022/03/11,420,113,318,115,20,113,7,113,8
AR,2022/03/11,319,111,270,113,4,111,3,111,1
AZ,2022/03/11,702,116,539,119,11,116,7,116,4
CA,2022/03/11,2745,403,2485,411,105,403,88,402,7
FL,2022/03/11,1630,265,1312,271,47,265,30,265,5
GA,2022/03/11,1081,171,763,175,40,172,30,172,7
IA,2022/03/11,141,124,128,126,3,124,3,124,2
IL,2022/03/11,688,201,584,206,33,201,15,201,6
IN,2022/03/11,434,166,336,168,22,166,15,166,7
KS,2022/03/11,225,147,188,150,6,147,3,147,1
KY,2022/03/11,554,115,473,117,23,115,9,115,8
MD,2022/03/11,385,59,245,60,27,59,6,59,4
ME,2022/03/11,132,38,125,39,8,38,6,38,1
MI,2022/03/11,724,159,653,163,36,159,29,159,8
MN,2022/03/11,346,139,283,140,19,139,18,139,2
MO,2022/03/11,817,137,675,141,57,137,47,137,5
MS,2022/03/11,217,108,201,110,17,108,6,108,1
MT,2022/03/11,54,65,55,66,3,65,1,65,1
NC,2022/03/11,1252,128,920,132,38,128,21,128,20
ND,2022/03/11,89,49,74,50,3,49,2,49,1
NE,2022/03/11,154,98,147,99,9,98,7,98,2
NJ,2022/03/11,543,95,502,96,11,95,1,95,5
NM,2022/03/11,159,52,136,53,9,52,7,52,2
NY,2022/03/11,1442,199,1191,208,66,199,48,199,6
OH,2022/03/11,886,231,699,235,144,231,28,231,1
OK,2022/03/11,318,146,278,148,39,146,37,146,1
OR,2022/03/11,393,62,321,64,24,62,10,62,7
PA,2022/03/11,965,221,751,227,67,221,28,221,9
SC,2022/03/11,269,86,240,88,10,86,6,86,3
TN,2022/03/11,681,138,621,141,39,138,36,138,6
TX,2022/03/11,2370,591,1960,596,121,591,84,591,22
VA,2022/03/11,552,103,464,106,19,103,13,103,11
WA,2022/03/11,704,103,432,105,24,103,14,103,5
WI,2022/03/11,357,148,335,151,18,148,5,148,1
AK,2022/03/12,51,24,46,24,5,24,2,24,2
AL,2022/03/12,388,112,280,114,11,112,5,112,10
AZ,2022/03/12,634,116,494,119,11,116,7,116,1
CA,2022/03/12,2586,403,2357,411,103,403,81,402,15
CO,2022/03/12,249,104,195,106,25,104,16,104,2
CT,2022/03/12,130,39,119,40,25,39,5,39,2
FL,2022/03/12,1542,265,1245,271,43,265,30,265,11
GA,2022/03/12,989,172,690,175,39,172,27,172,8
IL,2022/03/12,728,201,570,206,52,201,16,201,5
IN,2022/03/12,442,166,319,168,22,166,17,166,5
KS,2022/03/12,198,147,172,150,8,147,5,147,1
KY,2022/03/12,512,115,433,117,18,115,10,115,11
MD,2022/03/12,356,59,224,60,20,59,5,59,3
MI,2022/03/12,682,159,611,163,28,159,26,159,11
MO,2022/03/12,793,137,635,141,47,137,39,137,8
MT,2022/03/12,52,65,53,66,2,65,2,65,2
NC,2022/03/12,1186,128,860,132,35,128,16,128,15
ND,2022/03/12,79,49,64,50,3,49,2,49,1
NE,2022/03/12,153,98,141,99,9,98,8,98,1
NJ,2022/03/12,500,95,455,96,12,95,2,95,5
NM,2022/03/12,154,51,125,52,8,51,7,51,3
NY,2022/03/12,1377,199,1118,208,77,199,44,199,9
OH,2022/03/12,873,231,665,235,132,231,27,231,1
OK,2022/03/12,312,146,268,148,39,146,36,146,2
OR,2022/03/12,381,62,304,64,24,62,8,62,5
PA,2022/03/12,934,221,694,227,59,221,24,221,14
SD,2022/03/12,73,62,66,65,4,62,4,62,1
TN,2022/03/12,657,138,590,141,33,138,32,138,5
TX,2022/03/12,2273,591,1860,596,123,591,80,591,23
VA,2022/03/12,527,103,448,106,12,103,10,103,12
WA,2022/03/12,645,103,415,105,19,103,11,103,5
AL,2022/03/13,417,112,280,114,4,112,2,112,2
AR,2022/03/13,282,111,240,113,10,111,5,111,2
AZ,2022/03/13,642,116,483,119,17,116,6,116,2
CA,2022/03/13,2518,403,2290,411,94,403,79,402,12
CO,2022/03/13,227,104,179,106,20,104,11,104,3
DE,2022/03/13,105,15,47,16,4,15,1,15,1
FL,2022/03/13,1501,265,1231,271,43,265,33,265,4
GA,2022/03/13,916,172,644,175,38,172,29,172,4
IA,2022/03/13,132,124,121,126,7,124,2,124,1
IL,2022/03/13,630,201,511,206,34,201,12,201,4
IN,2022/03/13,422,166,317,168,20,166,14,166,6
KY,2022/03/13,497,115,422,117,14,115,5,115,3
MD,2022/03/13,356,59,223,60,16,59,6,59,2
MI,2022/03/13,668,159,594,163,33,159,27,159,4
MN,2022/03/13,340,139,288,140,16,139,14,139,1
MO,2022/03/13,726,137,605,141,49,137,38,137,6
NC,2022/03/13,1174,128,858,132,39,128,16,128,11
NE,2022/03/13,154,98,139,99,11,98,10,98,1
NJ,2022/03/13,497,95,443,96,13,95,4,95,13
NM,2022/03/13,152,51,121,52,6,51,4,51,2
NY,2022/03/13,1356,199,1095,208,80,199,45,199,8
OK,2022/03/13,308,147,275,149,40,147,37,147,3
OR,2022/03/13,360,62,306,64,21,62,10,62,5
PA,2022/03/13,887,221,685,227,54,221,28,221,9
SC,2022/03/13,240,86,220,88,7,86,2,86,2
TN,2022/03/13,607,138,550,141,26,138,26,138,5
TX,2022/03/13,2050,591,1759,596,106,591,71,591,19
VA,2022/03/13,502,103,427,106,15,103,9,103,11
WA,2022/03/13,613,103,402,105,22,103,9,103,5
AK,2022/03/14,40,22,39,22,3,22,2,22,2
AL,2022/03/14,405,109,280,111,14,109,4,109,2
AR,2022/03/14,269,95,224,97,10,95,6,95,2
CA,2022/03/14,2428,367,2214,375,94,367,81,366,9
CO,2022/03/14,225,93,170,95,19,93,11,93,1
DC,2022/03/14,94,13,68,14,16,13,12,13,1
FL,2022/03/14,1488,236,1216,242,36,236,26,236,5
GA,2022/03/14,923,168,628,171,36,168,24,168,4
ID,2022/03/14,99,47,102,48,5,47,4,47,1
IL,2022/03/14,602,183,502,188,36,183,16,183,3
IN,2022/03/14,397,132,302,134,21,132,14,132,4
KS,2022/03/14,186,140,159,143,7,140,4,140,1
KY,2022/03/14,461,104,392,106,15,104,8,104,5
MD,2022/03/14,362,52,231,53,12,52,6,52,2
MI,2022/03/14,683,154,601,158,29,154,22,154,5
MO,2022/03/14,739,122,594,126,41,122,34,122,4
MS,2022/03/14,205,102,182,104,12,102,5,102,1
MT,2022/03/14,43,63,43,64,2,63,2,63,1
NC,2022/03/14,1147,116,836,120,39,116,16,116,16
ND,2022/03/14,78,46,56,47,5,46,2,46,3
NE,2022/03/14,147,94,137,95,8,94,8,94,2
NJ,2022/03/14,497,78,441,79,15,78,4,78,7
NY,2022/03/14,1387,170,1093,179,62,170,39,170,8
OH,2022/03/14,834,196,604,200,134,196,22,196,1
OK,2022/03/14,315,134,272,136,40,134,38,134,3
OR,2022/03/14,348,60,284,62,17,60,10,60,1
PA,2022/03/14,863,196,674,202,57,196,26,196,11
SC,2022/03/14,240,74,218,76,7,74,3,74,1
SD,2022/03/14,72,61,59,64,1,61,1,61,1
TN,2022/03/14,615,119,554,122,22,119,21,119,5
TX,2022/03/14,2102,498,1723,503,104,498,59,498,23
UT,2022/03/14,161,52,152,53,21,52,0,52,2
VA,2022/03/14,513,98,440,101,13,98,8,98,11
WA,2022/03/14,581,93,364,95,25,93,6,93,3
WI,2022/03/14,282,138,264,141,15,138,4,138,2
AL,2022/03/15,393,109,269,111,13,109,6,109,7
AR,2022/03/15,291,95,225,97,10,95,5,95,1
AZ,2022/03/15,593,101,414,104,17,101,10,101,1
CA,2022/03/15,2415,369,2164,377,99,369,82,368,12
CO,2022/03/15,206,93,144,95,29,93,8,93,1
CT,2022/03/15,118,32,100,33,22,32,2,32,1
FL,2022/03/15,1526,236,1219,242,39,236,35,236,25
GA,2022/03/15,919,167,615,170,28,167,19,167,5
HI,2022/03/15,57,25,51,25,8,25,4,25,1
IA,2022/03/15,109,120,107,122,2,120,0,120,1
IL,2022/03/15,620,181,503,186,59,181,20,181,2
IN,2022/03/15,405,132,285,134,16,132,11,132,4
KY,2022/03/15,466,104,376,106,23,104,8,104,9
MD,2022/03/15,348,52,214,53,9,52,5,52,5
MI,2022/03/15,664,154,585,158,20,154,20,154,4
MO,2022/03/15,708,122,566,126,44,122,34,122,4
MS,2022/03/15,202,103,176,105,9,103,6,103,1
MT,2022/03/15,48,63,47,64,5,63,4,63,1
NC,2022/03/15,1138,115,805,119,36,115,15,115,15
ND,2022/03/15,88,46,60,47,5,46,2,46,1
NE,2022/03/15,144,94,130,95,4,94,3,94,2
NH,2022/03/15,46,29,39,29,3,29,0,29,1
NJ,2022/03/15,480,78,422,79,13,78,4,78,2
NM,2022/03/15,144,48,121,49,11,48,6,48,2
NY,2022/03/15,1387,170,1040,179,68,170,47,170,8
OH,2022/03/15,744,195,589,199,131,195,21,195,1
OK,2022/03/15,300,134,253,136,38,134,37,134,2
OR,2022/03/15,341,60,282,62,19,60,10,60,7
PA,2022/03/15,906,195,676,201,45,195,23,195,8
SC,2022/03/15,245,74,220,76,4,74,2,74,3
TN,2022/03/15,550,118,503,121,34,118,34,118,5
TX,2022/03/15,2122,498,1689,503,100,498,57,498,31
VA,2022/03/15,502,99,430,102,13,99,11,99,9
WA,2022/03/15,634,93,369,95,19,93,6,93,9
AL,2022/03/16,340,115,248,117,17,115,9,115,3
AR,2022/03/16,263,111,210,113,13,111,7,111,4
CA,2022/03/16,2373,404,2131,412,95,404,79,403,7
FL,2022/03/16,1469,265,1178,271,42,265,32,265,18
GA,2022/03/16,888,170,594,173,26,170,19,170,5
IA,2022/03/16,110,124,106,126,4,124,1,124,1
ID,2022/03/16,96,51,91,52,2,51,2,51,1
IL,2022/03/16,561,200,459,205,45,200,18,200,2
IN,2022/03/16,422,165,276,167,14,165,11,165,4
KS,2022/03/16,204,147,165,150,5,147,2,147,1
KY,2022/03/16,437,115,349,117,26,115,11,115,6
MD,2022/03/16,336,59,210,60,12,59,5,59,1
ME,2022/03/16,118,38,114,39,7,38,7,38,1
MI,2022/03/16,647,159,584,163,25,159,21,159,4
MO,2022/03/16,713,137,552,141,41,137,34,137,10
MS,2022/03/16,177,109,162,111,13,109,6,109,4
MT,2022/03/16,54,64,52,65,3,64,3,64,1
NC,2022/03/16,1161,127,786,131,34,127,14,127,16
ND,2022/03/16,78,49,53,50,5,49,2,49,1
NE,2022/03/16,130,98,127,99,7,98,4,98,1
NJ,2022/03/16,455,95,413,96,13,95,3,95,7
NY,2022/03/16,1303,199,1017,208,80,199,51,199,7
OR,2022/03/16,337,62,287,64,26,62,12,62,5
PA,2022/03/16,888,221,656,227,60,221,22,221,5
SC,2022/03/16,234,86,207,88,3,86,2,86,2
TN,2022/03/16,547,138,489,141,31,138,31,138,4
TX,2022/03/16,2045,590,1610,595,90,590,57,590,23
VA,2022/03/16,515,104,423,107,11,104,9,104,7
WA,2022/03/16,614,102,367,104,25,102,9,102,6
WI,2022/03/16,266,147,246,150,9,147,2,147,1
AL,2022/03/17,352,113,244,115,26,113,7,113,7
CA,2022/03/17,2293,407,2046,415,84,407,70,406,5
CO,2022/03/17,200,105,150,107,27,105,10,105,1
FL,2022/03/17,1453,265,1126,271,43,265,28,265,22
GA,2022/03/17,878,170,562,173,27,170,19,170,5
HI,2022/03/17,56,26,51,26,7,26,3,26,3
ID,2022/03/17,88,51,86,52,5,51,3,51,3
IL,2022/03/17,558,201,441,206,47,201,21,201,3
IN,2022/03/17,362,165,267,167,15,165,12,165,2
KY,2022/03/17,427,115,323,117,28,115,7,115,7
MD,2022/03/17,348,59,205,60,19,59,6,59,4
MI,2022/03/17,642,159,569,163,28,159,21,159,6
MO,2022/03/17,689,137,531,141,46,137,29,137,4
MS,2022/03/17,164,109,144,111,7,109,4,109,3
MT,2022/03/17,49,64,48,65,2,64,2,64,2
NC,2022/03/17,1107,127,732,131,32,127,14,127,13
ND,2022/03/17,76,49,57,50,4,49,2,49,1
NJ,2022/03/17,439,95,384,96,17,95,4,95,5
NM,2022/03/17,152,53,129,54,11,53,11,53,1
NY,2022/03/17,1223,199,992,208,67,199,40,199,12
OH,2022/03/17,751,231,585,235,128,231,17,231,1
OR,2022/03/17,328,62,267,64,24,62,11,62,2
PA,2022/03/17,882,221,634,227,63,221,25,221,8
SC,2022/03/17,209,86,183,88,3,86,3,86,1
SD,2022/03/17,80,62,53,65,1,62,1,62,1
TN,2022/03/17,508,138,452,141,31,138,31,138,5
TX,2022/03/17,2030,590,1596,595,95,590,60,590,23
VA,2022/03/17,504,104,415,107,15,104,12,104,15
VT,2022/03/17,16,16,17,17,1,16,0,16,1
WA,2022/03/17,616,102,341,104,26,102,10,102,5
AL,2022/03/18,324,113,231,115,27,113,7,113,3
AR,2022/03/18,240,111,195,113,11,111,6,111,1
AZ,2022/03/18,526,117,370,120,15,117,10,117,2
CA,2022/03/18,2216,407,1951,415,83,407,68,406,9
CO,2022/03/18,194,105,145,107,16,105,6,105,1
FL,2022/03/18,1433,265,1073,271,34,265,25,265,21
GA,2022/03/18,853,170,524,173,24,170,18,170,4
HI,2022/03/18,52,26,49,26,8,26,4,26,1
IA,2022/03/18,89,124,85,126,3,124,2,124,1
IL,2022/03/18,520,201,413,206,44,201,19,201,3
IN,2022/03/18,355,165,234,167,16,165,8,165,4
KS,2022/03/18,182,147,149,150,8,147,1,147,1
KY,2022/03/18,393,115,313,117,24,115,9,115,8
MD,2022/03/18,320,59,196,60,18,59,6,59,3
MI,2022/03/18,623,159,554,163,24,159,19,159,10
MO,2022/03/18,654,137,504,141,38,137,29,137,5
MS,2022/03/18,151,109,126,111,8,109,4,109,1
NC,2022/03/18,1045,127,680,131,40,127,13,127,17
ND,2022/03/18,69,49,57,50,5,49,2,49,2
NE,2022/03/18,135,98,128,99,10,98,6,98,1
NJ,2022/03/18,460,95,402,96,16,95,4,95,7
NY,2022/03/18,1259,199,970,208,66,199,40,199,5
OH,2022/03/18,727,231,547,235,131,231,18,231,1
OK,2022/03/18,266,150,220,152,34,150,33,150,3
OR,2022/03/18,307,62,247,64,26,62,14,62,5
PA,2022/03/18,843,221,610,227,54,221,18,221,12
SC,2022/03/18,210,86,184,88,7,86,4,86,2
SD,2022/03/18,72,62,44,65,1,62,1,62,2
TN,2022/03/18,480,137,432,140,27,137,25,137,8
TX,2022/03/18,1898,591,1522,596,104,591,68,591,19
UT,2022/03/18,128,58,119,59,17,58,0,58,1
VA,2022/03/18,470,104,392,107,20,104,12,104,11
WA,2022/03/18,555,102,323,104,28,102,11,102,6
AL,2022/03/19,300,113,188,115,12,113,8,113,7
AR,2022/03/19,233,111,190,113,8,111,6,111,1
CA,2022/03/19,2114,407,1881,415,86,407,75,406,10
DC,2022/03/19,70,13,54,14,8,13,6,13,1
FL,2022/03/19,1304,265,982,271,35,265,25,265,17
GA,2022/03/19,795,170,501,173,21,170,18,170,4
HI,2022/03/19,57,26,48,26,6,26,3,26,1
ID,2022/03/19,85,52,78,53,9,52,3,52,2
IL,2022/03/19,493,201,388,206,42,201,14,201,2
IN,2022/03/19,354,165,232,167,13,165,9,165,6
KS,2022/03/19,165,147,142,150,5,147,1,147,1
KY,2022/03/19,368,115,287,117,19,115,6,115,8
MD,2022/03/19,309,59,187,60,20,59,6,59,3
MI,2022/03/19,601,159,523,163,23,159,18,159,1
MO,2022/03/19,611,137,467,141,35,137,29,137,2
MS,2022/03/19,148,109,132,111,7,109,4,109,3
NC,2022/03/19,1018,127,659,131,37,127,15,127,15
NJ,2022/03/19,460,95,395,96,19,95,9,95,3
NY,2022/03/19,1177,199,908,208,59,199,39,199,7
OH,2022/03/19,702,231,503,235,124,231,19,231,2
OK,2022/03/19,243,150,197,152,33,150,32,150,3
OR,2022/03/19,291,62,240,64,22,62,12,62,1
PA,2022/03/19,810,221,602,227,47,221,15,221,6
SC,2022/03/19,190,86,167,88,5,86,3,86,3
TN,2022/03/19,443,137,388,140,28,137,27,137,8
TX,2022/03/19,1836,591,1439,596,100,591,73,591,20
VA,2022/03/19,453,104,368,107,13,104,10,104,6
WA,2022/03/19,527,102,312,104,22,102,12,102,11
WI,2022/03/19,249,147,225,150,16,147,4,147,1
AK,2022/03/20,40,24,39,24,2,24,1,24,6
AL,2022/03/20,301,113,181,115,12,113,7,113,5
AZ,2022/03/20,522,117,349,120,16,117,8,117,1
CA,2022/03/20,2042,407,1814,415,76,407,62,406,7
CT,2022/03/20,109,39,91,40,18,39,4,39,1
DC,2022/03/20,70,13,55,14,7,13,5,13,2
FL,2022/03/20,1326,265,984,271,52,265,25,265,14
GA,2022/03/20,764,170,486,173,35,170,19,170,3
HI,2022/03/20,50,26,45,26,7,26,3,26,1
IL,2022/03/20,556,201,421,206,38,201,15,201,1
IN,2022/03/20,383,165,246,167,12,165,9,165,2
KS,2022/03/20,150,147,133,150,4,147,1,147,1
KY,2022/03/20,365,115,298,117,23,115,4,115,5
MD,2022/03/20,321,59,177,60,20,59,7,59,1
MI,2022/03/20,582,159,504,163,21,159,17,159,5
MO,2022/03/20,570,137,463,141,40,137,30,137,2
MT,2022/03/20,45,64,48,65,1,64,1,64,1
NC,2022/03/20,995,127,641,131,29,127,14,127,17
ND,2022/03/20,72,49,53,50,4,49,2,49,2
NJ,2022/03/20,447,95,386,96,12,95,4,95,8
NY,2022/03/20,1162,199,910,208,76,199,46,199,4
OH,2022/03/20,698,231,479,235,123,231,19,231,1
OK,2022/03/20,238,150,199,152,33,150,32,150,1
OR,2022/03/20,289,62,234,64,21,62,13,62,3
PA,2022/03/20,784,221,600,227,46,221,12,221,11
RI,2022/03/20,53,13,42,14,3,13,0,13,1
SC,2022/03/20,192,86,161,88,6,86,4,86,3
TN,2022/03/20,435,137,384,140,15,137,15,137,2
TX,2022/03/20,1765,591,1393,596,98,591,70,591,17
VA,2022/03/20,456,104,361,107,13,104,10,104,13
WA,2022/03/20,535,102,296,104,26,102,12,102,2
WI,2022/03/20,244,147,220,150,14,147,4,147,1
AK,2022/03/21,43,23,37,23,1,23,0,23,2
AL,2022/03/21,284,109,183,111,15,109,5,109,4
AZ,2022/03/21,496,102,334,105,8,102,6,102,2
CA,2022/03/21,2026,371,1800,379,70,371,61,370,11
CO,2022/03/21,171,93,121,95,15,93,6,93,1
DC,2022/03/21,83,13,54,14,6,13,5,13,1
FL,2022/03/21,1298,235,1006,241,35,235,20,235,19
GA,2022/03/21,736,154,468,157,28,154,19,154,4
ID,2022/03/21,80,48,77,49,7,48,2,48,1
IL,2022/03/21,530,183,406,188,45,183,17,183,1
IN,2022/03/21,359,132,233,134,15,132,11,132,3
KY,2022/03/21,362,104,290,106,22,104,4,104,3
MD,2022/03/21,349,52,176,53,27,52,9,52,1
MI,2022/03/21,549,154,489,158,23,154,18,154,3
MO,2022/03/21,583,122,449,126,36,122,28,122,2
MS,2022/03/21,144,102,130,104,7,102,4,102,1
MT,2022/03/21,40,63,42,64,1,63,1,63,2
NC,2022/03/21,949,115,618,119,34,115,14,115,13
ND,2022/03/21,68,46,49,47,6,46,2,46,1
NE,2022/03/21,124,94,115,95,9,94,5,94,1
NJ,2022/03/21,425,78,372,79,9,78,1,78,7
NM,2022/03/21,124,49,105,50,7,49,6,49,1
NY,2022/03/21,1201,171,950,180,70,171,51,171,3
OH,2022/03/21,684,197,484,201,123,197,18,197,1
OK,2022/03/21,239,135,191,137,30,135,30,135,2
OR,2022/03/21,275,61,226,63,21,61,9,61,3
PA,2022/03/21,784,193,572,199,40,193,9,193,8
SC,2022/03/21,174,74,152,76,4,74,4,74,2
TN,2022/03/21,440,117,376,120,19,117,18,117,3
TX,2022/03/21,1670,500,1356,505,90,500,62,500,17
VA,2022/03/21,482,98,359,101,21,98,15,98,9
WA,2022/03/21,559,93,293,95,24,93,12,93,8
AL,2022/03/22,267,109,164,111,19,109,7,109,3
AR,2022/03/22,198,95,149,97,5,95,4,95,1
CA,2022/03/22,1978,367,1728,375,75,367,64,366,14
CT,2022/03/22,108,32,95,33,23,32,4,32,2
DC,2022/03/22,71,13,51,14,8,13,7,13,1
FL,2022/03/22,1251,235,947,241,33,235,23,235,19
GA,2022/03/22,736,154,452,157,27,154,14,154,4
IL,2022/03/22,494,183,381,188,34,183,13,183,4
IN,2022/03/22,325,131,204,133,17,131,13,131,3
KS,2022/03/22,156,141,122,144,4,141,1,141,1
KY,2022/03/22,359,104,274,106,26,104,4,104,1
MD,2022/03/22,314,52,172,53,25,52,6,52,2
MI,2022/03/22,527,155,454,159,25,155,20,155,5
MO,2022/03/22,603,122,448,126,42,122,27,122,4
NC,2022/03/22,954,115,584,119,41,115,13,115,19
ND,2022/03/22,69,46,49,47,5,46,1,46,1
NE,2022/03/22,122,94,112,95,7,94,4,94,2
NJ,2022/03/22,432,78,375,79,10,78,2,78,11
NM,2022/03/22,123,49,106,50,4,49,3,49,2
NY,2022/03/22,1225,170,935,179,73,170,45,170,6
OH,2022/03/22,632,195,481,199,123,195,15,195,1
OK,2022/03/22,233,134,179,136,34,134,31,134,2
OR,2022/03/22,273,61,206,63,14,61,7,61,2
PA,2022/03/22,774,193,540,199,41,193,12,193,14
SC,2022/03/22,168,73,147,75,4,73,4,73,1
TN,2022/03/22,429,118,361,121,25,118,23,118,2
TX,2022/03/22,1668,501,1301,506,91,501,56,501,26
VA,2022/03/22,452,96,353,99,13,96,9,96,8
WA,2022/03/22,548,93,276,95,29,93,12,93,4
WI,2022/03/22,285,137,252,140,18,137,3,137,1
AK,2022/03/23,37,24,36,24,3,24,2,24,1
AL,2022/03/23,243,115,157,117,29,115,7,115,1
AR,2022/03/23,219,111,164,113,7,111,7,111,3
CA,2022/03/23,1911,406,1674,414,80,406,66,405,5
DC,2022/03/23,99,13,52,14,8,13,5,13,2
FL,2022/03/23,1224,264,928,270,39,264,23,264,17
GA,2022/03/23,736,168,443,171,35,168,14,168,3
IA,2022/03/23,76,124,74,126,1,124,1,124,1
IL,2022/03/23,523,201,384,206,38,201,15,201,3
IN,2022/03/23,356,166,215,168,13,166,10,166,3
KS,2022/03/23,159,147,126,150,5,147,0,147,2
KY,2022/03/23,343,115,255,117,32,115,7,115,5
MD,2022/03/23,309,59,178,60,28,59,5,59,1
MI,2022/03/23,506,160,440,164,25,160,21,160,7
MO,2022/03/23,578,137,434,141,47,137,32,137,3
